"hour","temperature"
"2019-09-29 13:00:00.000","2831"
"2019-09-29 13:00:00.000","2812"
"2019-09-29 13:00:00.000","2806"
"2019-09-29 13:00:00.000","2787"
"2019-09-29 13:00:00.000","2775"
"2019-09-29 13:00:00.000","2768"
"2019-09-29 13:00:00.000","2762"
"2019-09-29 13:00:00.000","2743"
"2019-09-29 13:00:00.000","2681"
"2019-09-29 13:00:00.000","2318"
"2019-09-29 13:00:00.000","2356"
"2019-09-29 13:00:00.000","2362"
"2019-09-29 13:00:00.000","2368"
"2019-09-29 13:00:00.000","2387"
"2019-09-29 13:00:00.000","2443"
"2019-09-29 13:00:00.000","2487"
"2019-09-29 13:00:00.000","2556"
"2019-09-29 13:00:00.000","2575"
"2019-09-29 13:00:00.000","2587"
"2019-09-29 13:00:00.000","2600"
"2019-09-29 13:00:00.000","2637"
"2019-09-29 13:00:00.000","2650"
"2019-09-29 13:00:00.000","2656"
"2019-09-29 13:00:00.000","2675"
"2019-09-29 13:00:00.000","2950"
"2019-09-29 13:00:00.000","2943"
"2019-09-29 13:00:00.000","2931"
"2019-09-29 13:00:00.000","2925"
"2019-09-29 13:00:00.000","2893"
"2019-09-29 13:00:00.000","2881"
"2019-09-29 13:00:00.000","2875"
"2019-09-29 13:00:00.000","2843"
"2019-09-29 13:00:00.000","2737"
"2019-09-29 13:00:00.000","2731"
"2019-09-29 13:00:00.000","2718"
"2019-09-29 13:00:00.000","2712"
"2019-09-29 13:00:00.000","2293"
"2019-09-29 13:00:00.000","2306"
"2019-09-29 13:00:00.000","2337"
"2019-09-29 13:00:00.000","2393"
"2019-09-29 13:00:00.000","2400"
"2019-09-29 13:00:00.000","2425"
"2019-09-29 13:00:00.000","2431"
"2019-09-29 13:00:00.000","2437"
"2019-09-29 13:00:00.000","2493"
"2019-09-29 13:00:00.000","2506"
"2019-09-29 13:00:00.000","2525"
"2019-09-29 13:00:00.000","2543"
"2019-09-29 13:00:00.000","2593"
"2019-09-29 13:00:00.000","2606"
"2019-09-29 13:00:00.000","2643"
"2019-09-29 13:00:00.000","2662"
"2019-09-29 13:00:00.000","2668"
"2019-09-29 13:00:00.000","2618"
"2019-09-29 13:00:00.000","2625"
"2019-09-29 13:00:00.000","2562"
"2019-09-29 13:00:00.000","2550"
"2019-09-29 13:00:00.000","2500"
"2019-09-29 13:00:00.000","2462"
"2019-09-29 13:00:00.000","2456"
"2019-09-29 13:00:00.000","2406"
"2019-09-29 13:00:00.000","2381"
"2019-09-29 13:00:00.000","2343"
"2019-09-29 13:00:00.000","2693"
"2019-09-29 13:00:00.000","2725"
"2019-09-29 13:00:00.000","2750"
"2019-09-29 13:00:00.000","2793"
"2019-09-29 13:00:00.000","2800"
"2019-09-29 13:00:00.000","2850"
"2019-09-29 13:00:00.000","2856"
"2019-09-29 13:00:00.000","2862"
"2019-09-29 13:00:00.000","2906"
"2019-09-29 13:00:00.000","2968"
"2019-09-29 13:00:00.000","2918"
"2019-09-29 13:00:00.000","2912"
"2019-09-29 13:00:00.000","2868"
"2019-09-29 13:00:00.000","2837"
"2019-09-29 12:00:00.000","2375"
"2019-09-29 12:00:00.000","2431"
"2019-09-29 12:00:00.000","2450"
"2019-09-29 12:00:00.000","2462"
"2019-09-29 12:00:00.000","2468"
"2019-09-29 12:00:00.000","2475"
"2019-09-29 12:00:00.000","2487"
"2019-09-29 12:00:00.000","2493"
